Task,PR-AUC,ROC-AUC,Model
NR-AR,0.557038360462066,0.8132709584322486,Hybrid_GNN_RF
NR-AR-LBD,0.5379333160514569,0.8991708126036484,Hybrid_GNN_RF
NR-AhR,0.5681396402387174,0.8430915874145479,Hybrid_GNN_RF
NR-Aromatase,0.4612729601912911,0.7903225806451614,Hybrid_GNN_RF
NR-ER,0.4609904970814183,0.7058888888888888,Hybrid_GNN_RF
NR-ER-LBD,0.3959505131945708,0.7983355020602906,Hybrid_GNN_RF
NR-PPAR-gamma,0.3381477194631894,0.8046158256880734,Hybrid_GNN_RF
SR-ARE,0.5203407345158324,0.7913761279737489,Hybrid_GNN_RF
SR-ATAD5,0.3027418319271605,0.7549886621315192,Hybrid_GNN_RF
SR-HSE,0.2722663367624969,0.7775943396226415,Hybrid_GNN_RF
SR-MMP,0.6286350770191367,0.8663852769646221,Hybrid_GNN_RF
SR-p53,0.3977142562685652,0.831184668989547,Hybrid_GNN_RF
