Task,PR_AUC_val,INT_CHEM,EXT_CHEM,Task_Hardness
NR-AR,0.48743159157315663,0.5125684084268434,0.9213862407665503,0.7169773245966968
NR-AR-LBD,0.5169627924033763,0.4830372075966237,1.0,0.7415186037983119
NR-AhR,0.4280428452290866,0.5719571547709135,0.841037153101594,0.7064971539362537
NR-Aromatase,0.20170270600677054,0.7982972939932295,0.07426372936666782,0.43628051167994863
NR-ER,0.3063412474776923,0.6936587525223077,0.2308343723993232,0.4622465624608154
NR-ER-LBD,0.3685082840943617,0.6314917159056384,0.2892938520120027,0.46039278395882055
SR-ARE,0.28409633881654267,0.7159036611834573,0.09777611671196998,0.4068398889477136
NR-PPAR-gamma,0.15186276284844882,0.8481372371515512,0.012417362581804143,0.4302772998666777
SR-ATAD5,0.250418544736531,0.749581455263469,0.0701148366965022,0.4098481459799856
SR-HSE,0.134024805018254,0.865975194981746,0.0,0.432987597490873
SR-p53,0.21420622360072572,0.7857937763992743,0.0873659809794748,0.43657987868937453
SR-MMP,0.4370141717481455,0.5629858282518545,0.5169505138982456,0.5399681710750501
