Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Task,Model,Type
0.9107142857142857,0.5,0.04285714285714286,0.07894736842105264,0.5841236494597838,0.1829639415410078,NR-ER,RF_Baseline,Baseline
0.8813775510204082,0.2982456140350877,0.24285714285714285,0.2677165354330709,0.7050920368147259,0.2388413839692505,NR-ER,RF_Optimized,Optimized
0.9030612244897959,0.35,0.1,0.15555555555555556,0.6813825530212084,0.22667392852999824,NR-ER,XGB_Optimized,Optimized
0.9719387755102041,0.6923076923076923,0.3333333333333333,0.45,0.7334996819805274,0.37385241442843536,NR-AR,RF_Baseline,Baseline
0.9732142857142857,0.6875,0.4074074074074074,0.5116279069767441,0.7243994324575566,0.3853720700206966,NR-AR,RF_Optimized,Optimized
0.9668367346938775,0.5263157894736842,0.37037037037037035,0.43478260869565216,0.7418905034492881,0.3789902076743732,NR-AR,XGB_Optimized,Optimized
0.9094387755102041,0.6,0.041666666666666664,0.07792207792207792,0.7444210362047442,0.3258949442846743,SR-p53,RF_Baseline,Baseline
0.9094387755102041,0.5555555555555556,0.06944444444444445,0.12345679012345681,0.7540964419475654,0.3501174365537855,SR-p53,RF_Optimized,Optimized
0.9170918367346939,0.8181818181818182,0.125,0.21686746987951808,0.7664735486891386,0.38283401465271366,SR-p53,XGB_Optimized,Optimized
0.9413265306122449,1.0,0.02127659574468085,0.04166666666666667,0.6639337163313028,0.23014662862540597,SR-HSE,RF_Baseline,Baseline
0.9413265306122449,0.5714285714285714,0.0851063829787234,0.14814814814814814,0.7023297439302519,0.24045502627143656,SR-HSE,RF_Optimized,Optimized
0.9387755102040817,0.4444444444444444,0.0851063829787234,0.14285714285714285,0.7004821155345131,0.24626752433443339,SR-HSE,XGB_Optimized,Optimized
