Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Task,Model
0.8813775510204082,0.2982456140350877,0.24285714285714285,0.2677165354330709,0.7050920368147259,0.2388413839692505,NR-ER,RF_Optimized
0.9030612244897959,0.35,0.1,0.15555555555555556,0.6813825530212084,0.22667392852999824,NR-ER,XGB_Optimized
0.9706632653061225,0.4166666666666667,0.23809523809523808,0.30303030303030304,0.6413280908693753,0.13910690905391518,NR-ER-LBD,RF_Optimized
0.9706632653061225,0.4166666666666667,0.23809523809523808,0.30303030303030304,0.6767147225862822,0.13500333019323102,NR-ER-LBD,XGB_Optimized
0.9770408163265306,0.5555555555555556,0.2631578947368421,0.35714285714285715,0.8443068455452356,0.30196678086854867,NR-AR-LBD,RF_Optimized
0.9757653061224489,0.5,0.2631578947368421,0.3448275862068966,0.7726178190574474,0.3007495741417141,NR-AR-LBD,XGB_Optimized
0.9553571428571429,0.0,0.0,0.0,0.6922083686397935,0.091013149809706,SR-ATAD5,RF_Optimized
0.9502551020408163,0.0,0.0,0.0,0.6592018722511398,0.06674302821617024,SR-ATAD5,XGB_Optimized
0.9413265306122449,0.6,0.06382978723404255,0.11538461538461536,0.7124917001068161,0.2715344314177196,NR-Aromatase,RF_Optimized
0.9413265306122449,0.5384615384615384,0.14893617021276595,0.23333333333333334,0.6708767574121655,0.2032827366040923,NR-Aromatase,XGB_Optimized
0.9094387755102041,0.5555555555555556,0.06944444444444445,0.12345679012345681,0.7540964419475654,0.3501174365537855,SR-p53,RF_Optimized
0.9170918367346939,0.8181818181818182,0.125,0.21686746987951808,0.7664735486891386,0.38283401465271366,SR-p53,XGB_Optimized
0.9413265306122449,0.5714285714285714,0.0851063829787234,0.14814814814814814,0.7023297439302519,0.24045502627143656,SR-HSE,RF_Optimized
0.9387755102040817,0.4444444444444444,0.0851063829787234,0.14285714285714285,0.7004821155345131,0.24626752433443339,SR-HSE,XGB_Optimized
0.8456632653061225,0.34065934065934067,0.33695652173913043,0.33879781420765026,0.7711265393314901,0.3368930621789804,NR-AhR,RF_Optimized
0.8686224489795918,0.40350877192982454,0.25,0.3087248322147651,0.7606025383262126,0.3083648664687062,NR-AhR,XGB_Optimized
0.8737244897959183,0.44,0.11458333333333333,0.18181818181818182,0.7541182170542635,0.28488646883548274,SR-MMP,RF_Optimized
0.875,0.4583333333333333,0.11458333333333333,0.18333333333333332,0.737281976744186,0.29167312348911434,SR-MMP,XGB_Optimized
0.9732142857142857,0.6875,0.4074074074074074,0.5116279069767441,0.7243994324575566,0.3853720700206966,NR-AR,RF_Optimized
0.9668367346938775,0.5263157894736842,0.37037037037037035,0.43478260869565216,0.7418905034492881,0.3789902076743732,NR-AR,XGB_Optimized
0.8482142857142857,0.45454545454545453,0.0423728813559322,0.07751937984496124,0.6396332773451417,0.2549063193665565,SR-ARE,RF_Optimized
0.8431122448979592,0.391304347826087,0.07627118644067797,0.12765957446808512,0.5939011044943249,0.2502114020861411,SR-ARE,XGB_Optimized
0.9706632653061225,0.0,0.0,0.0,0.6734073013600572,0.09544292814392219,NR-PPAR-gamma,RF_Optimized
0.9719387755102041,0.0,0.0,0.0,0.5785612025769507,0.0674126351784476,NR-PPAR-gamma,XGB_Optimized
